,day,ID,timestamps,date_time,price,market_caps,volumes,price_dif,%change,st_dev,>st_dev
0,201,ethereum,1655251200000,2022-06-15 00:00:00,1214.8662649132034,146866764082.71506,32772246927.05907,9.270979372724469,0.007689959876185322,0.04228351797319614,0
1,202,ethereum,1655337600000,2022-06-16 00:00:00,1230.3643353556054,148791271623.67947,39679810344.68712,15.498070442401968,0.012757017698165512,0.04172040555999302,0
2,203,ethereum,1655424000000,2022-06-17 00:00:00,1068.6035748646073,129200159744.2964,18016510161.232018,-161.7607604909981,-0.1314738698470525,0.041727873690837504,1
3,204,ethereum,1655510400000,2022-06-18 00:00:00,1087.8139244584365,132057112459.09528,14067259810.778109,19.210349593829278,0.017977059075685052,0.04248330446177934,0
4,205,ethereum,1655596800000,2022-06-19 00:00:00,995.2525692707907,120148911164.20312,21112670623.39463,-92.56135518764586,-0.08508932741757937,0.042413181554716094,1
5,206,ethereum,1655683200000,2022-06-20 00:00:00,1125.7540917942745,136214925416.2125,21676867429.837547,130.5015225234838,0.13112402474790963,0.04263162293393024,1
6,207,ethereum,1655769600000,2022-06-21 00:00:00,1132.0543935828048,136360308696.36775,19817753726.31641,6.300301788530305,0.005596516889837476,0.04372547901711051,0
7,208,ethereum,1655856000000,2022-06-22 00:00:00,1124.5613920165545,136466936749.8006,14838197887.54318,-7.493001566250314,-0.006618941288267907,0.04372817370051868,0
8,209,ethereum,1655942400000,2022-06-23 00:00:00,1051.0740681589236,127762640725.99547,14331217471.338781,-73.48732385763083,-0.06534754294370176,0.043548477111568805,1
9,210,ethereum,1656028800000,2022-06-24 00:00:00,1144.4807534808065,138845063633.00702,14247953151.15019,93.40668532188283,0.0888678430488684,0.04371057817888742,1
10,211,ethereum,1656115200000,2022-06-25 00:00:00,1229.3040854466553,150370804175.61026,16288488163.424997,84.82333196584887,0.07411512313148864,0.04417006285159774,1
11,212,ethereum,1656201600000,2022-06-26 00:00:00,1244.2862044953927,150822450290.39706,11692717741.72477,14.982119048737331,0.0121874800760088,0.04443241298891902,0
12,213,ethereum,1656288000000,2022-06-27 00:00:00,1201.237790641909,145727702946.91232,11375746747.404722,-43.04841385348368,-0.03459687465629462,0.04444888979890121,0
13,214,ethereum,1656374400000,2022-06-28 00:00:00,1194.2245084746114,144903396178.83267,12044359298.246723,-7.013282167297575,-0.005838379563092056,0.04443424398942552,0
14,215,ethereum,1656460800000,2022-06-29 00:00:00,1143.5335357209958,138578887988.78128,13181896477.373173,-50.6909727536156,-0.042446769760539765,0.044248359820007535,0
15,216,ethereum,1656547200000,2022-06-30 00:00:00,1098.9055176105344,133275228451.34705,14755440934.32621,-44.628018110461426,-0.039026418304666105,0.044177309508836006,0
16,217,ethereum,1656633600000,2022-07-01 00:00:00,1057.6309990608017,125647331913.1351,15402670572.44401,-41.27451854973265,-0.037559660851899414,0.044118617629062225,0
17,218,ethereum,1656720000000,2022-07-02 00:00:00,1068.8194401301964,128274306967.6086,17420131787.73736,11.188441069394685,0.010578775659308636,0.04415487097985011,0
18,219,ethereum,1656806400000,2022-07-03 00:00:00,1068.5415025999594,127772810160.63632,9601263305.049065,-0.27793753023706813,-0.0002600416120829648,0.04380792866420406,0
19,220,ethereum,1656892800000,2022-07-04 00:00:00,1074.6073175787587,128552380046.80466,7939419238.560307,6.065814978799381,0.005676723799721517,0.04377296333970811,0
20,221,ethereum,1656979200000,2022-07-05 00:00:00,1153.3483147880895,137709680960.0187,13827342516.34925,78.74099720933077,0.07327420530389213,0.04365726689465087,1
21,222,ethereum,1657065600000,2022-07-06 00:00:00,1134.017069659217,135655130079.77824,15393490017.737787,-19.331245128872524,-0.016760977478364244,0.044008398074136396,0
22,223,ethereum,1657152000000,2022-07-07 00:00:00,1188.72564292538,142216914175.49112,14422132961.962862,54.70857326616306,0.04824316558356878,0.04400114708225422,1
23,224,ethereum,1657238400000,2022-07-08 00:00:00,1240.3784056617153,148622605231.4957,13170522513.182205,51.65276273633526,0.043452215440747975,0.04412536370073251,0
24,225,ethereum,1657324800000,2022-07-09 00:00:00,1233.5146792602989,148022842649.44733,15346600702.3086,-6.863726401416443,-0.005533574568927449,0.044256348501952224,0
25,226,ethereum,1657411200000,2022-07-10 00:00:00,1216.8497068484605,145667751203.8659,7870254817.813988,-16.664972411838335,-0.013510153297755493,0.04425040164290835,0
26,227,ethereum,1657497600000,2022-07-11 00:00:00,1169.012707661018,139844141994.57858,10374466605.406368,-47.836999187442416,-0.03931216724482456,0.04421435855521507,0
27,228,ethereum,1657584000000,2022-07-12 00:00:00,1097.4494380477286,131363492852.48433,11693162178.034164,-71.56326961328955,-0.06121684490194691,0.04427874403838141,1
28,229,ethereum,1657670400000,2022-07-13 00:00:00,1040.7971455029597,124831295049.54144,11555798332.527388,-56.6522925447689,-0.051621779173306265,0.0443830776147103,1
29,230,ethereum,1657756800000,2022-07-14 00:00:00,1112.9207827012565,132986401488.71632,17936886119.90067,72.12363719829682,0.06929653632307327,0.044497742080009506,1
30,231,ethereum,1657843200000,2022-07-15 00:00:00,1191.1308371103114,142767764050.56015,16474223860.658737,78.21005440905492,0.07027459242806593,0.04479125194872194,1
31,232,ethereum,1657929600000,2022-07-16 00:00:00,1234.0991389763226,147677565536.3019,16817194904.2499,42.96830186601119,0.03607353661521557,0.04510824621984146,0
32,233,ethereum,1658016000000,2022-07-17 00:00:00,1355.04564021949,161839496479.48514,19025831554.91271,120.9465012431674,0.09800387782742621,0.04520128900212495,1
33,234,ethereum,1658102400000,2022-07-18 00:00:00,1344.7202840019015,161551223982.24402,15797648344.457476,-10.325356217588478,-0.007619932429667815,0.04561745943964723,0
34,235,ethereum,1658188800000,2022-07-19 00:00:00,1570.6589588642053,187518878564.4312,26437290054.27533,225.93867486230374,0.16801908735243282,0.045535634503931464,1
35,236,ethereum,1658275200000,2022-07-20 00:00:00,1542.6298214332235,184299116474.0005,27749085857.707005,-28.02913743098179,-0.017845463697129117,0.04709616855933687,0
36,237,ethereum,1658361600000,2022-07-21 00:00:00,1527.4139307593093,183383314168.63928,21728126383.56131,-15.215890673914146,-0.00986360464610842,0.047106483125309774,0
37,238,ethereum,1658448000000,2022-07-22 00:00:00,1576.8252394976826,188807814065.77225,19411405082.96741,49.411308738373236,0.03234965175013812,0.047064743815481765,0
38,239,ethereum,1658534400000,2022-07-23 00:00:00,1536.1249222389129,183933879174.97644,18084368731.242767,-40.7003172587697,-0.025811558718920113,0.047115375718675766,0
39,240,ethereum,1658620800000,2022-07-24 00:00:00,1552.4964891908746,185766674503.14,14901008279.154797,16.371566951961768,0.010657705447614308,0.04713196782147259,0
40,241,ethereum,1658707200000,2022-07-25 00:00:00,1601.2079670127046,192833875418.8718,16058331978.02615,48.71147782182993,0.03137622414026664,0.04713694722587651,0
41,242,ethereum,1658793600000,2022-07-26 00:00:00,1450.4822852139405,176371406952.78534,19852493229.276333,-150.72568179876407,-0.09413248304026717,0.0470113664530502,1
42,243,ethereum,1658880000000,2022-07-27 00:00:00,1438.9880382230651,172489862867.98706,17711985937.25044,-11.494246990875354,-0.007924431141315177,0.047381140198120814,0
43,244,ethereum,1658966400000,2022-07-28 00:00:00,1636.9491814677854,195761014376.11774,22792557484.269226,197.96114324472023,0.1375696934139721,0.04719255010677635,1
44,245,ethereum,1659052800000,2022-07-29 00:00:00,1723.5485206790595,206347207632.4567,27508245872.984703,86.59933921127413,0.05290288800146138,0.048176199460770064,1
45,246,ethereum,1659139200000,2022-07-30 00:00:00,1739.0421771356112,210767555013.8352,21792598232.364918,15.493656456551662,0.008989393841054924,0.04831136924532435,0
46,247,ethereum,1659225600000,2022-07-31 00:00:00,1696.7850982136515,203433082401.512,14236780342.012003,-42.257078921959646,-0.02429905351206696,0.048295656365345316,0
47,248,ethereum,1659312000000,2022-08-01 00:00:00,1682.0113736147462,201684547325.2247,12894604186.287695,-14.773724598905346,-0.00870689200091331,0.04817271224390398,0
48,249,ethereum,1659398400000,2022-08-02 00:00:00,1636.0185563573557,195962280445.4563,15515408282.681602,-45.99281725739047,-0.02734393951127041,0.04808002659202227,0
49,250,ethereum,1659484800000,2022-08-03 00:00:00,1638.3786826572205,197496591505.0525,19414686138.72405,2.36012629986476,0.0014426036249366582,0.0480539213656778,0
50,251,ethereum,1659571200000,2022-08-04 00:00:00,1621.3413236364065,194280005714.3,15548536682.14197,-17.037359020813938,-0.010398914000261363,0.04803532903667014,0
51,252,ethereum,1659657600000,2022-08-05 00:00:00,1612.4189067269824,192923352504.82288,14074560038.427647,-8.9224169094241,-0.005503108308750536,0.04803515664276616,0
52,253,ethereum,1659744000000,2022-08-06 00:00:00,1725.3826270211505,206550599256.62894,17717475728.243652,112.96372029416807,0.07005854360978123,0.048030445869830775,1
53,254,ethereum,1659830400000,2022-08-07 00:00:00,1693.2965918360276,203417937064.14212,11231103244.36643,-32.08603518512291,-0.01859647517172409,0.048221174416073556,0
54,255,ethereum,1659916800000,2022-08-08 00:00:00,1699.0064178886953,203847481552.73074,9464715954.716835,5.709826052667722,0.0033720176844368446,0.04822589867834682,0
